seed,alpha_T1_face,alpha_T1_kh,delta_alpha_T1_kh_minus_face,alpha_T2_face,alpha_T2_kh,delta_alpha_T2_kh_minus_face
50,0.009459426107010222,0.02749796907223354,0.018038542965223316,-0.01991408022620599,-0.02023051738896247,-0.0003164371627564812
51,-0.007154153876646888,-0.003963701337254315,0.003190452539392573,0.008143960672355025,0.003387583290872863,-0.004756377381482161
52,-0.005047392571607634,-0.005588516588985658,-0.000541124017378024,0.01196139977493731,0.01061140276248771,-0.001349997012449599
53,-0.008696719848137581,-0.0007279266409459524,0.007968793207191628,-0.02830771453685156,-0.01838271335419995,0.009925001182651612
54,0.007390021569043166,0.01137783448083501,0.003987812911791845,-0.03941062309479894,-0.03506466170932836,0.004345961385470581
55,0.005798843235380628,-0.007137933957297355,-0.012936777192677983,0.0631657888882808,0.08055998064774758,0.017394191759466784
56,-0.003000048093486112,-0.003548591340854182,-0.0005485432473680699,-0.001523936683891225,0.001414455498963071,0.0029383921828542957
57,0.04340344971694576,0.04761392072355521,0.0042104710066094495,0.00363021066984511,0.01124123033152864,0.007611019661683529
58,0.04430483866843933,0.03735177408720701,-0.006953064581232321,-0.02900100777297121,-0.02665376480797786,0.0023472429649933485
59,-0.01491975880052269,-0.01097215864911341,0.00394760015140928,-0.02950545886181935,-0.02912607020878204,0.0003793886530373096
60,-0.03091354687106359,-0.01786730377486383,0.013046243096199759,0.02067977343814273,0.02520533589646511,0.00452556245832238
61,-0.01953876735717931,-0.02763633563102631,-0.008097568273847,0.03648330350168253,0.0388380840754442,0.002354780573761671
62,0.01294396328647563,0.01773030057769865,0.0047863372912230195,-0.03439660175773315,-0.03412342678044515,0.00027317497728800155
63,-0.0228234626110454,-0.02815139722706517,-0.005327934616019769,0.02433008648532996,0.01755813497924537,-0.006771951506084593
64,0.007960036973732348,-0.002217825399816502,-0.010177862373548851,-0.0133546319334404,-0.02182855048386264,-0.00847391855042224
65,-0.008888181968202116,-0.009328815185035637,-0.0004406332168335209,-0.02625888806623116,-0.03620567473903066,-0.009946786672799503
66,-0.02278226683153771,-0.02203128392520739,0.0007509829063303206,-0.01178496022225154,-0.00290368564632081,0.008881274575930732
67,-0.03147533899514965,-0.02696730973226731,0.004508029262882338,0.01460390035570163,0.021711794563492,0.007107894207790368
68,-0.01029395772810312,-0.008787240490347178,0.0015067172377559428,0.04498660243485646,0.04395212040877232,-0.001034482026084138
69,-0.003852275842161908,-0.004131576631131611,-0.00027930078896970306,0.01743816219883302,0.01807000850191543,0.0006318463030824117
70,0.0003450775130164402,0.003370685185713228,0.003025607672696788,-0.01344424780333211,-0.01231421870353806,0.001130029099794051
71,-0.005615337226956034,7.037446490285219e-05,0.005685711691858886,0.02753974218759831,0.034043916963847,0.006504174776248692
72,-0.02914831764327391,-0.03488140866625618,-0.005733091022982268,0.04417402280346142,0.03879913505894947,-0.005374887744511954
73,-0.02143465421984583,-0.03155504083686683,-0.010120386617021002,0.00463969516449215,0.01476986934686429,0.01013017418237214
74,-0.00465114322515583,-0.01322996562204062,-0.00857882239688479,0.01707948657667294,0.01675827334279165,-0.0003212132338812901
75,0.01705477281639906,0.006459346487448784,-0.010595426328950275,0.008571105274316504,0.003988758580719878,-0.0045823466935966265
