backend,t,n,alpha_L_mean,alpha_L_ci95,alpha_L_lower,alpha_L_upper,alpha_T1_mean,alpha_T1_ci95,alpha_T1_lower,alpha_T1_upper,alpha_T2_mean,alpha_T2_ci95,alpha_T2_lower,alpha_T2_upper
face,400.0,100,0.15647464767310051,0.05027184417860444,0.10620280349449607,0.20674649185170496,0.005931827870257086,0.005450791767588348,0.0004810361026687379,0.011382619637845433,0.0031247580821943876,0.005973059486372603,-0.0028483014041782153,0.00909781756856699
face,410.0,100,0.14015361312895705,0.05098985890472222,0.08916375422423484,0.19114347203367926,0.006069991604776562,0.005214109311525596,0.0008558822932509657,0.011284100916302157,0.0038503266373419863,0.005844199530986125,-0.001993872893644139,0.009694526168328112
face,420.0,100,0.12285317450761853,0.051545510931670965,0.07130766357594756,0.1743986854392895,0.005954256547975394,0.005104335508688591,0.000849921039286803,0.011058592056663985,0.004417921932043741,0.005694207195693515,-0.0012762852636497742,0.010112129127737256
face,430.0,100,0.10596561939411128,0.05194606434516512,0.05401955504894616,0.1579116837392764,0.005902377301526031,0.005013935135925502,0.0008884421656005287,0.010916312437451534,0.004535248809479417,0.0054914621629806514,-0.0009562133535012344,0.010026710972460069
face,440.0,100,0.0906580150144503,0.052835729173027465,0.03782228584142283,0.14349374418747776,0.00633263133764091,0.005035030630278577,0.001297600707362333,0.011367661967919487,0.0043371932987800715,0.005334492175392922,-0.0009972988766128506,0.009671685474172994
face,450.0,100,0.07546806551414861,0.05357338207854746,0.02189468343560115,0.1290414475926961,0.006472608492217827,0.005088046617237017,0.0013845618749808095,0.011560655109454844,0.004052540818260968,0.005287351856822676,-0.0012348110385617082,0.009339892675083644
face,460.0,100,0.06000467521761536,0.05399574820659547,0.006008927011019884,0.11400042342421082,0.0061086847121593095,0.005127653496816695,0.0009810312153426147,0.011236338208976005,0.0037187423686784204,0.005253063409686369,-0.0015343210410079483,0.008971805778364789
face,470.0,100,0.04632502764403278,0.05424736699020385,-0.007922339346171065,0.10057239463423663,0.005947263889220183,0.0051950927007049594,0.0007521711885152237,0.011142356589925143,0.003585407249686781,0.005192868417033184,-0.001607461167346403,0.008778275666719964
face,480.0,100,0.034127672186887024,0.053890476790043315,-0.01976280460315629,0.08801814897693033,0.006259286400360536,0.00518486658700894,0.0010744198133515953,0.011444152987369477,0.00368731417883408,0.005059953203549884,-0.0013726390247158042,0.008747267382383964
face,490.0,100,0.022237599113650464,0.05337586924327661,-0.031138270129626142,0.07561346835692707,0.006235438712090964,0.0050964436768650995,0.0011389950352258642,0.011331882388956063,0.0035865472309172183,0.004944855531938275,-0.001358308301021057,0.008531402762855494
face,500.0,100,0.016355626215700858,0.05321732198287364,-0.036861695767172784,0.0695729481985745,0.005938089575048864,0.00506464074969474,0.0008734488253541242,0.011002730324743604,0.0033904188242513773,0.004914611041251884,-0.0015241922170005067,0.008305029865503261
kh,10.0,100,0.06891626274173844,0.009714521362319473,0.05920174137941897,0.07863078410405791,0.005566841171059882,0.01035072654718647,-0.004783885376126589,0.015917567718246352,0.013712277636685059,0.013123096002246296,0.0005891816344387631,0.026835373638931355
kh,20.0,100,0.08770294545739472,0.012421576627074892,0.07528136883031983,0.10012452208446962,0.006789902513425135,0.010234099796669283,-0.0034441972832441473,0.01702400231009442,0.017580577659134036,0.01318824830046158,0.004392329358672455,0.030768825959595618
kh,30.0,100,0.12235064434062265,0.017453917122920083,0.10489672721770257,0.13980456146354273,0.008693386595230586,0.010743051899642966,-0.00204966530441238,0.019436438494873552,0.023992590748817866,0.013530413397952338,0.010462177350865529,0.037523004146770206
kh,40.0,100,0.15273565606006748,0.021980537012440564,0.1307551190476269,0.17471619307250805,0.009861162423685689,0.011389675147873519,-0.0015285127241878305,0.021250837571559208,0.02861122685404004,0.013861296909754923,0.014749929944285117,0.04247252376379496
kh,50.0,100,0.18164719892969894,0.026232401084535235,0.1554147978451637,0.20787960001423417,0.010926394949504956,0.011367888685691017,-0.00044149373618606116,0.022294283635195974,0.03064043166952924,0.013669033129416993,0.016971398540112245,0.044309464798946235
kh,60.0,100,0.21046930027881067,0.03040122010687829,0.18006808017193238,0.24087052038568896,0.01245874833184099,0.011452407420915186,0.001006340910925805,0.023911155752756177,0.029024515191790657,0.012602615000951677,0.01642190019083898,0.041627130192742334
kh,70.0,100,0.23661360065344486,0.033848461182687625,0.20276513947075725,0.2704620618361325,0.014631834274481049,0.011586435211887344,0.0030453990625937052,0.026218269486368392,0.026171488630117232,0.01154290539930231,0.014628583230814922,0.03771439402941954
kh,80.0,100,0.2584949469680318,0.03625291510213342,0.22224203186589842,0.29474786207016523,0.016801903926376933,0.011233983305080453,0.00556792062129648,0.028035887231457387,0.0232372722360009,0.010903187304661187,0.012334084931339712,0.03414045954066208
kh,90.0,100,0.27688774095335456,0.03733893937710411,0.23954880157625044,0.31422668033045864,0.01810004861178795,0.010809437091737059,0.007290611520050892,0.028909485703525008,0.02076441564963843,0.010583732287301823,0.010180683362336608,0.031348147936940254
kh,100.0,100,0.29190838099484506,0.03752496354621347,0.2543834174486316,0.32943334454105855,0.018287340376113115,0.010484035704269878,0.007803304671843238,0.028771376080382993,0.019926341812998474,0.010634555109240437,0.009291786703758038,0.03056089692223891
